Industry,Male,Female,MaleDiff,FemaleDiff,MaleNum,FemaleNum,MaleSumProd,FemaleSumProd
Other,46.72416891,39.54079426,18%,-15%,55650,17576,2600200,694969
Arts & Entertain,36.14586342,32.55254461,11%,-10%,24235,27234,875995,886536
Construction,42.69724292,38.0287071,12%,-11%,42146,4633,1799518,176187
Educational Services,39.37537756,37.9708958,4%,-4%,19202,47622,756086,1808250
Finance & Insurance,42.85174626,39.49752805,8%,-8%,18239,23261,781573,918752
Medical Services,41.89382421,36.84495664,14%,-12%,15917,58919,666824,2170868
Manufacturing,44.61527059,40.54477561,10%,-9%,41151,14729,1835963,597184
Professional & Tech Services,41.35769818,34.94528191,18%,-16%,56981,47498,2356603,1659831
Public Administration,43.70963942,40.13573665,9%,-8%,15281,11817,667927,474284
Retail & Wholesale,40.78713594,34.810784,17%,-15%,47932,40319,1955009,1403536
